file,N,Kendall Tau Diameter Correlation,Kendall Tau Diameter Pvalue,SRCC Diameter,SRCC Diameter Pvalue,Zscore of latest sample Diameter,P of no change in mean Diameter,Kendall Tau Weight Correlation,Kendall Tau Weight Pvalue,SRCC Weight,SRCC Weight Pvalue,Zscore of latest sample Weight,P of no change in mean Weight,Kendall Tau IV Correlation,Kendall Tau IV Pvalue,SRCC IV,SRCC IV Pvalue,Zscore of latest sample IV,P of no change in mean IV
2.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,0.2513473397993177,0.8015455777258553,1.0,0.3333333333333333,1.0,0.0,0.7191848704508212,0.47202702012424935,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.042980187973884136,0.9657173269640319
3.0,2.0,-1.0,1.0,-0.9999999999999999,,-1.7421890705749365,0.08147536580085944,1.0,1.0,0.9999999999999999,,0.41519715444302857,0.6779975817422753,1.0,1.0,0.9999999999999999,,0.22167206821819951,0.8245691754963889
5.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.45804091122694884,0.6469230492891929,-1.0,1.0,-0.9999999999999999,,-0.27803813004647915,0.7809830887283354,1.0,1.0,0.9999999999999999,,0.8421276620719299,0.3997164990431715
7.0,2.0,1.0,1.0,0.9999999999999999,,0.3917777038432212,0.6952224705504744,1.0,1.0,0.9999999999999999,,0.3989688161805177,0.6899161817245631,-1.0,1.0,-0.9999999999999999,,-0.354748607242104,0.7227779328161821
13.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.34772571690284276,0.7280461812213522,1.0,1.0,0.9999999999999999,,1.2909904356443849,0.1967069940389251,-1.0,1.0,-0.9999999999999999,,-0.9854987619590213,0.3243791392575709
14.0,2.0,-1.0,1.0,-0.9999999999999999,,-0.7759807078845296,0.43776037687813185,1.0,1.0,0.9999999999999999,,0.9765063673297616,0.3288135940866065,-1.0,1.0,-0.9999999999999999,,-1.1251026627229213,0.26054553311908013
15.0,2.0,1.0,1.0,0.9999999999999999,,1.401676884129557,0.16101175645429888,1.0,1.0,0.9999999999999999,,0.7825159016104727,0.4339114438313607,-1.0,1.0,-0.9999999999999999,,-1.2256110885169949,0.22034506305619983
16.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,-0.6517888931373654,0.5145373677032644,1.0,0.3333333333333333,1.0,0.0,2.105279683844622,0.03526696950946193,-1.0,0.3333333333333333,-1.0,0.0,-0.888731544268371,0.37414737389203545
17.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,-0.5215140430870511,0.602008725434682,1.0,0.3333333333333333,1.0,0.0,2.563135939909916,0.010373142495766286,-1.0,0.3333333333333333,-1.0,0.0,-0.871996837355578,0.38321010289511204
18.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,1.6147494704269856,0.10636495965282973,1.0,0.3333333333333333,1.0,0.0,0.9680798694388255,0.33300448266762284,-1.0,0.3333333333333333,-1.0,0.0,-0.540892869915175,0.5885814256930538
19.0,3.0,-0.33333333333333337,1.0,-0.5,0.6666666666666667,0.006663507238155431,0.9946833297993297,1.0,0.3333333333333333,1.0,0.0,0.919618172588927,0.35777232681792526,-1.0,0.3333333333333333,-1.0,0.0,-0.9666849000034374,0.3337015779374143
20.0,3.0,0.33333333333333337,1.0,0.5,0.6666666666666667,-0.051636135964724494,0.95881862539846,1.0,0.3333333333333333,1.0,0.0,0.807019003453446,0.41965553470887695,-1.0,0.3333333333333333,-1.0,0.0,-0.4293311382562929,0.6676822593554508
21.0,2.0,1.0,1.0,0.9999999999999999,,1.0687138629304123,0.2851986229285497,1.0,1.0,0.9999999999999999,,0.19272945252037793,0.8471708560928468,-1.0,1.0,-0.9999999999999999,,-1.0152675887047422,0.3099782898753074
22.0,2.0,1.0,1.0,0.9999999999999999,,0.19178846731527657,0.8479079050185467,1.0,1.0,0.9999999999999999,,1.4582578492527585,0.14476948378324409,1.0,1.0,0.9999999999999999,,2.229987459378615,0.02574827543362737
23.0,2.0,1.0,1.0,0.9999999999999999,,1.222601317175362,0.22148031539051383,1.0,1.0,0.9999999999999999,,0.5043672567020255,0.6140033229118624,1.0,1.0,0.9999999999999999,,1.4798209703194731,0.13892103075633339
24.0,2.0,1.0,1.0,0.9999999999999999,,0.5032142376403518,0.6148136557705661,1.0,1.0,0.9999999999999999,,1.8800700125754242,0.060098536737221264,1.0,1.0,0.9999999999999999,,3.271607824004374,0.0010693780221562703
